,uid,title,genre,aired,episodes,members,popularity,ranked,score
17796,8960,MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu,"['Action', 'Comedy']","Aug 5, 2010 to Oct 7, 2010",10.0,1034,9445,7400.0,6.23
17797,10138,Manga Hajimete Omoshiro Juku,"['Adventure', 'Kids']","Feb 4, 1989 to Apr 27, 1991",110.0,288,12251,7200.0,6.27
17798,27945,Gugure! Kokkuri-san Specials,"['Comedy', 'Supernatural', 'Romance', 'Shounen']","Dec 24, 2014 to May 27, 2015",11.0,10387,4277,2618.0,7.28
17800,2030,El Cazador de la Bruja,"['Adventure', 'Drama', 'Mystery']","Apr 3, 2007 to Sep 25, 2007",26.0,41613,2130,2615.0,7.28
17801,654,Galaxy Angel 3 Specials,"['Comedy', 'Sci-Fi']","Nov 28, 2003",2.0,3057,6967,2616.0,7.28
17803,10444,Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,"['Action', 'Adventure', 'Fantasy', 'Comedy', 'Shounen']","Apr 3, 2011 to Sep 25, 2011",24.0,18725,3296,2613.0,7.28
17806,61,D.N.Angel,"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']","Apr 3, 2003 to Sep 25, 2003",26.0,155094,716,2610.0,7.28
17807,3627,D.C.II S.S.: Da Capo II Second Season,"['Fantasy', 'Comedy', 'Harem', 'Romance', 'Drama']","Apr 6, 2008 to Jun 29, 2008",13.0,25118,2834,2609.0,7.28
17809,12669,Amagami SS+ Plus Specials,['Romance'],"Apr 4, 2012 to Sep 5, 2012",6.0,25636,2804,2607.0,7.28
17811,32899,Watashi ga Motete Dousunda,"['Harem', 'Comedy', 'Romance', 'School', 'Shoujo']","Oct 7, 2016 to Dec 23, 2016",12.0,197045,551,2605.0,7.29
17812,390,Suzuka,"['Sports', 'Drama', 'Romance', 'Shounen']","Jul 7, 2005 to Dec 29, 2005",26.0,90549,1197,2603.0,7.29
17813,6758,Tatakau Shisho: The Book of Bantorra,"['Action', 'Fantasy', 'Seinen', 'Super Power']","Oct 2, 2009 to Apr 2, 2010",27.0,49187,1915,2604.0,7.29
17815,2285,D.I.C.E.,"['Action', 'Adventure', 'Kids', 'Mecha', 'Sci-Fi', 'Shounen']","Dec 6, 2005 to Sep 19, 2006",40.0,3668,6513,6746.0,6.36
17817,2277,Mahou Yuugi 2D,"['Adventure', 'Comedy', 'Magic', 'Fantasy']","Nov 16, 2001 to May 3, 2002",24.0,2731,7214,6401.0,6.43
17820,37561,Akanesasu Shoujo,"['Action', 'School', 'Sci-Fi']","Oct 1, 2018 to Dec 17, 2018",12.0,25329,2831,5850.0,6.54
17821,32698,Monster Musume no Iru Nichijou OVA,"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Seinen']","Nov 12, 2016 to Apr 13, 2017",2.0,58183,1716,2595.0,7.29
17825,28013,Macross Δ,"['Action', 'Military', 'Sci-Fi', 'Music', 'Space', 'Romance', 'Mecha']","Apr 3, 2016 to Sep 25, 2016",26.0,53394,1816,2592.0,7.29
17827,33074,Lupin III (2015) Specials,"['Action', 'Adventure', 'Comedy', 'Seinen']","Sep 6, 2015 to Nov 22, 2015",2.0,4587,5968,2590.0,7.29
17828,1013,Le Chevalier D'Eon,"['Historical', 'Magic', 'Mystery', 'Seinen', 'Supernatural']","Jul 2, 2006 to Feb 23, 2007",24.0,44750,2042,2589.0,7.29
17830,34712,Kujira no Kora wa Sajou ni Utau,"['Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shoujo']","Oct 8, 2017 to Dec 24, 2017",12.0,123964,914,2587.0,7.29
17831,28623,Koutetsujou no Kabaneri,"['Action', 'Horror', 'Supernatural', 'Drama', 'Fantasy']","Apr 8, 2016 to Jul 1, 2016",12.0,480530,145,2586.0,7.29
17832,29325,Koukaku Kidoutai Arise: Alternative Architecture,"['Sci-Fi', 'Police', 'Psychological', 'Mecha']","Apr 5, 2015 to Jun 14, 2015",10.0,34030,2389,2585.0,7.29
17833,3010,Kaiketsu Zorro,"['Adventure', 'Historical', 'Shounen']","Apr 5, 1996 to Apr 14, 1997",52.0,7755,4813,2584.0,7.29
17834,17933,Pyuu to Fuku! Jaguar,"['Comedy', 'Music', 'Shounen']","Nov 19, 2007 to Jan 21, 2008",3.0,562,10747,5302.0,6.66
17835,31537,Manaria Friends,"['Demons', 'Fantasy', 'Magic', 'Supernatural']","Jan 21, 2019 to Mar 25, 2019",10.0,73758,1444,5150.0,6.69
17836,38693,Overlord: Ple Ple Pleiades - Clementine Toubou-hen,"['Action', 'Comedy', 'Magic', 'Fantasy']","Nov 23, 2018",3.0,9145,4526,5100.0,6.7
17838,1524,Fuujin Monogatari,"['Slice of Life', 'Fantasy', 'Supernatural', 'School', 'Drama']","Sep 11, 2004 to Feb 26, 2005",13.0,12457,3952,2581.0,7.29
17839,1126,Figure 17: Tsubasa & Hikaru,"['Sci-Fi', 'Slice of Life']","May 27, 2001 to May 26, 2002",13.0,9955,4356,2580.0,7.29
17841,32494,Days (TV),"['Sports', 'School', 'Shounen']","Jul 2, 2016 to Dec 18, 2016",24.0,91485,1186,2576.0,7.29
17844,2036,Cosmic Baton Girl Comet-san☆,"['Adventure', 'Comedy', 'Drama', 'Magic', 'Sci-Fi']","Apr 1, 2001 to Jan 27, 2002",43.0,2637,7302,2575.0,7.29
17845,37379,Chihayafuru 3,"['Drama', 'Game', 'Josei', 'School', 'Slice of Life', 'Sports']","Oct 23, 2019 to ?",24.0,45922,2007,2574.0,7.29
17846,15611,Cardfight!! Vanguard: Link Joker-hen,"['Action', 'Adventure', 'Demons', 'Game', 'Shounen']","Jan 13, 2013 to Mar 2, 2014",59.0,14021,3780,2573.0,7.29
17851,1548,Shin Taketori Monogatari: 1000-nen Joou,"['Sci-Fi', 'Mystery', 'Drama']","Apr 16, 1981 to Mar 25, 1982",42.0,3431,6679,2568.0,7.3
17852,4581,Shikabane Hime: Aka,"['Action', 'Horror', 'Martial Arts']","Oct 2, 2008 to Dec 25, 2008",13.0,95273,1149,2567.0,7.3
17855,33726,Saiyuuki Reload Blast,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Drama', 'Josei']","Jul 5, 2017 to Sep 20, 2017",12.0,29555,2587,2566.0,7.3
17862,3345,Mikan Enikki,"['Slice of Life', 'Comedy', 'Romance', 'Shoujo']","Oct 16, 1992 to Jun 18, 1993",30.0,1927,8044,2560.0,7.3
17864,37087,Overlord: Ple Ple Pleiades 2,"['Action', 'Comedy', 'Fantasy', 'Magic']","Jan 9, 2018 to Apr 3, 2018",13.0,19809,3224,4151.0,6.91
17865,6299,Maria-sama ga Miteru 4th Specials,['Comedy'],"Mar 25, 2009 to Aug 21, 2009",11.0,4585,5949,2559.0,7.3
17866,333,Mama wa Shougaku 4 Nensei,"['Comedy', 'Drama', 'Sci-Fi']","Jan 10, 1992 to Dec 25, 1992",51.0,3426,6690,2558.0,7.3
17869,190,Love Hina Again,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'Shounen']","Jan 26, 2002 to Mar 27, 2002",3.0,72221,1461,2555.0,7.3
17871,36791,Ling Yu: Di San Ji,['Fantasy'],"Jul 21, 2016 to Oct 6, 2016",12.0,1056,9415,4100.0,6.92
17872,4375,Kyoro-chan,"['Adventure', 'Comedy', 'Fantasy']","Jul 1, 1999 to Mar 29, 2001",91.0,1816,8171,2553.0,7.3
17874,3349,Kiddy GiRL-AND,"['Action', 'Comedy', 'Sci-Fi', 'Super Power']","Oct 16, 2009 to Mar 26, 2010",24.0,15512,3618,4097.0,6.92
17876,655,Galaxy Angel 4,"['Comedy', 'Sci-Fi']","Jul 7, 2004 to Sep 29, 2004",13.0,6235,5271,2545.0,7.3
17881,8915,Dantalian no Shoka,"['Action', 'Mystery', 'Historical', 'Supernatural']","Jul 16, 2011 to Oct 1, 2011",12.0,115123,980,2540.0,7.3
17882,15687,Chuunibyou demo Koi ga Shitai! Lite,"['Comedy', 'School']","Sep 27, 2012 to Oct 31, 2012",6.0,90202,1203,2537.0,7.3
17883,11697,Area no Kishi,"['Comedy', 'School', 'Shounen', 'Sports']","Jan 7, 2012 to Sep 29, 2012",37.0,53424,1810,2533.0,7.3
17885,2225,Alps no Shoujo Heidi,"['Slice of Life', 'Historical', 'Drama']","Jan 6, 1974 to Dec 29, 1974",52.0,20712,3135,2531.0,7.3
17886,31178,Uta no☆Prince-sama♪ Maji Love Legend Star,"['Harem', 'Music', 'Comedy', 'Romance', 'Shoujo']","Oct 2, 2016 to Dec 25, 2016",13.0,26771,2738,2529.0,7.31
17887,20787,Black Bullet,"['Action', 'Sci-Fi', 'Mystery', 'Seinen']","Apr 8, 2014 to Jul 1, 2014",13.0,578570,99,2535.0,7.3
17890,28621,Subete ga F ni Naru,"['Sci-Fi', 'Mystery', 'Psychological']","Oct 9, 2015 to Dec 18, 2015",11.0,122563,918,2526.0,7.31
17891,35847,SSSS.Gridman,"['Action', 'Sci-Fi', 'Mecha']","Oct 7, 2018 to Dec 23, 2018",12.0,145858,767,2525.0,7.31
17892,38938,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Picture Drama,"['Comedy', 'Romance']","Dec 19, 2018 to May 15, 2019",5.0,29880,2584,2522.0,7.31
17893,13055,Sankarea OVA,"['Comedy', 'Ecchi', 'Horror', 'Romance', 'Shounen', 'Supernatural']","Jun 8, 2012 to Nov 9, 2012",2.0,78292,1376,2521.0,7.31
17894,12467,Nazo no Kanojo X,"['Romance', 'School', 'Seinen']","Apr 8, 2012 to Jul 1, 2012",13.0,163679,676,2516.0,7.31
17897,4062,Musashi no Ken,"['Sports', 'Shounen']","Apr 18, 1985 to Sep 26, 1986",72.0,1646,8391,2514.0,7.31
17898,7845,Seton Doubutsuki,"['Adventure', 'Fantasy']","Oct 14, 1989 to Dec 22, 1990",45.0,383,11604,4350.0,6.86
17900,24475,Mangaka-san to Assistant-san to The Animation Specials,"['Comedy', 'Ecchi', 'Harem', 'Seinen', 'Slice of Life']","Jun 25, 2014 to Nov 26, 2014",6.0,37294,2276,2511.0,7.31
17901,1609,Mai-Otome Zwei,"['Action', 'Magic']","Nov 24, 2006 to Aug 24, 2007",4.0,16817,3483,2510.0,7.31
17902,3577,Kyouran Kazoku Nikki,"['Comedy', 'Sci-Fi']","Apr 12, 2008 to Oct 4, 2008",26.0,25390,2820,2509.0,7.31
17903,15379,Kotoura-san,"['Comedy', 'Drama', 'Romance', 'School']","Jan 11, 2013 to Mar 29, 2013",12.0,218168,491,2508.0,7.31
17905,953,Jyu Oh Sei,"['Action', 'Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Shoujo']","Apr 14, 2006 to Jun 23, 2006",11.0,57979,1712,2505.0,7.31
17906,147,Kimi ga Nozomu Eien,"['Drama', 'Romance', 'Slice of Life']","Oct 5, 2003 to Jan 4, 2004",14.0,114690,983,2506.0,7.31
17909,28825,Himouto! Umaru-chan,"['Comedy', 'School', 'Seinen', 'Slice of Life']","Jul 9, 2015 to Sep 24, 2015",12.0,362095,254,2503.0,7.31
17910,28155,Yoru no Yatterman,"['Action', 'Adventure', 'Comedy', 'Drama']","Jan 11, 2015 to Mar 29, 2015",12.0,27779,2685,5900.0,6.54
17914,34279,Grancrest Senki,"['Action', 'Drama', 'Fantasy', 'Romance']","Jan 6, 2018 to Jun 23, 2018",24.0,152336,729,2500.0,7.31
17915,12875,Ginga e Kickoff!!,"['Sports', 'Shounen']","Mar 26, 2012 to Feb 26, 2013",39.0,17442,3426,2499.0,7.31
17916,1858,Gakuen Utopia Manabi Straight!,"['Slice of Life', 'Comedy', 'School']","Jan 8, 2007 to Mar 26, 2007",12.0,25224,2829,2498.0,7.31
17919,34443,Baki,"['Action', 'Martial Arts', 'Shounen']","Jun 25, 2018 to Dec 17, 2018",26.0,84599,1308,2494.0,7.31
17921,10834,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,"['Comedy', 'Romance', 'School', 'Super Power']","Sep 21, 2011 to Feb 22, 2012",6.0,28130,2664,2493.0,7.31
17922,104,Ayashi no Ceres,"['Adventure', 'Comedy', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Shoujo']","Apr 20, 2000 to Sep 28, 2000",24.0,48339,1941,2492.0,7.31
17923,7770,Yutori-chan,"['Slice of Life', 'Comedy']","Dec 29, 2009 to Apr 9, 2010",25.0,4559,5967,7690.0,6.17
17924,31771,Amanchu!,"['Slice of Life', 'Comedy', 'School', 'Shounen']","Jul 8, 2016 to Sep 23, 2016",12.0,72694,1453,2491.0,7.31
17925,306,Abenobashi Mahou☆Shoutengai,"['Comedy', 'Parody', 'Ecchi', 'Fantasy']","Apr 4, 2002 to Jun 27, 2002",13.0,65371,1571,2490.0,7.31
17926,712,Zoids Genesis,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Military']","Apr 10, 2005 to Mar 26, 2006",50.0,12598,3933,2489.0,7.32
17929,25257,Persona 4 the Animation: Mr. Experiment Shorts,['Comedy'],"Apr 1, 2013",5.0,4239,6138,7407.0,6.23
17931,32502,BlazBlue: Alter Memory Specials,['Comedy'],"Dec 25, 2013 to May 28, 2014",6.0,2558,7374,7131.0,6.28
17932,6234,True Tears Specials,"['Comedy', 'Parody', 'School']","Mar 25, 2008 to Sep 26, 2008",7.0,9087,4515,6728.0,6.37
17934,10202,Kamen Rider Den-O: Imagin Anime 3,"['Action', 'Adventure', 'Comedy', 'Kids', 'Super Power']","Oct 21, 2010",12.0,549,10778,6342.0,6.44
17935,6743,Utawarerumono OVA Picture Drama,"['Comedy', 'Fantasy']","Jun 24, 2009 to Jun 23, 2010",3.0,4372,6059,6282.0,6.46
17936,25079,Trapp Ikka Monogatari Specials,"['Romance', 'Music', 'Historical', 'Drama']","Jun, 2001",2.0,314,12104,6281.0,6.46
17939,7,Witch Hunter Robin,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']","Jul 2, 2002 to Dec 24, 2002",26.0,85182,1278,2487.0,7.32
17940,1303,The Animatrix,"['Action', 'Drama', 'Sci-Fi']","Jun 3, 2003",9.0,58466,1698,2486.0,7.32
17942,10862,Tennis no Ouji-sama: Pair Prince,"['Comedy', 'Sports', 'Drama', 'Shounen']","Jun 25, 2010 to Dec 22, 2010",8.0,4362,6070,2485.0,7.32
17943,10232,Tamayura: Hitotose,"['Slice of Life', 'Comedy', 'Drama']","Oct 3, 2011 to Dec 19, 2011",12.0,34768,2356,2484.0,7.32
17946,5226,Souten Kouro,"['Action', 'Adventure', 'Historical']","Apr 8, 2009 to Sep 30, 2009",26.0,14221,3751,2481.0,7.32
17947,39477,Shingeki no Kyojin Season 3 Specials,"['Comedy', 'Parody', 'Shounen']","Oct 17, 2018 to Feb 27, 2019",4.0,13090,3879,2479.0,7.32
17948,152,Solty Rei,"['Action', 'Sci-Fi', 'Super Power']","Oct 7, 2005 to Mar 31, 2006",24.0,23632,2933,2480.0,7.32
