,uid,title,genre,aired,episodes,members,popularity,ranked,score
0,28891,Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 4, 2015 to Mar 27, 2016",25.0,489888,141,25.0,8.82
1,23273,Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']","Oct 10, 2014 to Mar 20, 2015",22.0,995473,28,24.0,8.83
2,34599,Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']","Jul 7, 2017 to Sep 29, 2017",13.0,581663,98,23.0,8.83
3,5114,Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']","Apr 5, 2009 to Jul 4, 2010",64.0,1615084,4,1.0,9.23
5,37510,Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']","Jan 7, 2019 to Apr 1, 2019",13.0,442310,176,21.0,8.89
7,38000,Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']","Apr 6, 2019 to Sep 28, 2019",26.0,575037,106,19.0,8.92
8,35247,Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']","Aug 12, 2017 to Aug 13, 2017",7.0,189944,573,18.0,8.93
9,2904,Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']","Apr 6, 2008 to Sep 28, 2008",25.0,992196,27,17.0,8.93
10,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 8, 2016 to Dec 10, 2016",10.0,395375,223,16.0,8.94
11,34096,Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Jan 9, 2017 to Mar 27, 2017",12.0,139309,800,15.0,8.94
14,4181,Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']","Oct 3, 2008 to Mar 27, 2009",24.0,740101,64,12.0,8.97
15,15417,Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Oct 4, 2012 to Mar 28, 2013",13.0,166446,667,11.0,8.98
16,30276,One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']","Oct 5, 2015 to Dec 21, 2015",12.0,1475219,5,50.0,8.68
20,7588,Saraiya Goyou,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']","Apr 16, 2010 to Jul 2, 2010",12.0,61146,1650,800.0,7.86
21,1253,Saint Seiya: Meiou Hades Meikai-hen,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']","Dec 17, 2005 to Feb 6, 2007",12.0,33453,2409,799.0,7.86
22,20767,Noragami OVA,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']","Feb 17, 2014 to Jul 17, 2014",2.0,200244,539,798.0,7.86
25,22673,Kuroko no Basket 2nd Season NG-shuu,"['Comedy', 'Sports']","Jan 29, 2014 to Sep 24, 2014",9.0,38046,2263,795.0,7.86
27,5680,K-On!,"['Slice of Life', 'Comedy', 'Music', 'School']","Apr 3, 2009 to Jun 26, 2009",13.0,610222,90,792.0,7.86
29,9563,Hidamari Sketch x ☆☆☆ Specials,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Oct 23, 2010 to Oct 30, 2010",2.0,11600,4073,790.0,7.86
32,36369,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Sep 27, 2019",4.0,11817,4041,787.0,7.86
33,27633,Gekkan Shoujo Nozaki-kun Specials,"['Comedy', 'Romance', 'School']","Sep 24, 2014 to Feb 25, 2015",6.0,87789,1233,786.0,7.86
34,31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","['Action', 'Military', 'Adventure', 'Fantasy']","Jan 9, 2016 to Mar 26, 2016",12.0,328860,297,785.0,7.86
35,38145,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.","['Slice of Life', 'Comedy']","Jan 9, 2019 to Mar 27, 2019",12.0,89612,1216,784.0,7.86
36,552,Digimon Adventure,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","Mar 7, 1999 to Mar 26, 2000",54.0,274830,356,783.0,7.86
37,1689,Byousoku 5 Centimeter,"['Slice of Life', 'Drama', 'Romance']","Mar 3, 2007",3.0,554071,108,781.0,7.86
41,32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"['Action', 'Comedy', 'School', 'Shounen']","Mar 11, 2016 to May 20, 2016",8.0,33163,2435,778.0,7.86
42,36160,Yaoguai Mingdan 2nd Season,"['Action', 'Comedy', 'Romance', 'Fantasy']","Aug 2, 2017 to Dec 29, 2017",21.0,5238,5659,777.0,7.87
43,33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Feb 25, 2017 to Mar 1, 2019",26.0,14326,3747,776.0,7.87
46,39940,Shokugeki no Souma: Shin no Sara,"['Ecchi', 'School', 'Shounen']","Oct 12, 2019 to Dec 28, 2019",12.0,162213,683,773.0,7.87
47,322,Paradise Kiss,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","Oct 14, 2005 to Dec 30, 2005",12.0,122787,916,772.0,7.87
50,97,Last Exile,"['Action', 'Sci-Fi', 'Adventure']","Apr 8, 2003 to Sep 30, 2003",26.0,137273,810,768.0,7.87
52,7645,Heartcatch Precure!,"['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']","Feb 7, 2010 to Jan 30, 2011",49.0,20414,3162,763.0,7.87
53,3604,Hidamari Sketch x 365,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Jul 4, 2008 to Sep 26, 2008",13.0,24921,2855,764.0,7.87
55,19319,Gundam Build Fighters,"['Action', 'Sci-Fi', 'Mecha']","Oct 7, 2013 to Mar 31, 2014",25.0,50399,1890,762.0,7.87
56,1571,Ghost Hunt,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']","Oct 4, 2006 to Mar 28, 2007",25.0,172769,630,760.0,7.87
57,35222,Gakuen Babysitters,"['Comedy', 'School', 'Shoujo', 'Slice of Life']","Jan 7, 2018 to Mar 25, 2018",12.0,94090,1171,759.0,7.87
60,30123,Akagami no Shirayuki-hime,"['Fantasy', 'Romance', 'Drama', 'Shoujo']","Jul 7, 2015 to Sep 22, 2015",12.0,336418,289,756.0,7.87
61,32998,91 Days,"['Action', 'Drama', 'Historical']","Jul 9, 2016 to Oct 1, 2016",12.0,340857,281,755.0,7.87
62,202,Wolf's Rain,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","Jan 7, 2003 to Jul 29, 2003",26.0,238834,425,754.0,7.88
63,5005,Tentai Senshi Sunred,"['Comedy', 'Parody', 'Super Power', 'Seinen']","Oct 3, 2008 to Mar 28, 2009",26.0,17654,3391,753.0,7.88
64,18397,Shingeki no Kyojin OVA,"['Action', 'Super Power', 'Drama', 'Fantasy', 'Shounen']","Dec 9, 2013 to Aug 8, 2014",3.0,222243,480,751.0,7.88
65,3750,Maria-sama ga Miteru 4th,"['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']","Jan 3, 2009 to Mar 28, 2009",13.0,15994,3569,749.0,7.88
66,33263,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,"['Action', 'Mystery', 'Supernatural', 'Drama']","Oct 26, 2016 to Sep 27, 2017",8.0,61280,1648,748.0,7.88
68,35860,Karakai Jouzu no Takagi-san,"['Romance', 'Comedy', 'School', 'Slice of Life', 'Shounen']","Jan 8, 2018 to Mar 26, 2018",12.0,235513,442,746.0,7.88
69,3092,Junjou Romantica,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Apr 11, 2008 to Jun 27, 2008",12.0,169037,647,745.0,7.88
70,38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['Action', 'Fantasy', 'Magic', 'Supernatural']","Oct 5, 2019 to Mar, 2020",21.0,80237,1355,744.0,7.88
71,37033,Emiya-san Chi no Kyou no Gohan,"['Slice of Life', 'Comedy']","Jan 25, 2018 to Jan 1, 2019",13.0,59944,1680,743.0,7.88
72,28999,Charlotte,"['Drama', 'School', 'Super Power']","Jul 5, 2015 to Sep 27, 2015",13.0,734250,66,742.0,7.88
73,388,Capeta,"['Cars', 'Shounen', 'Sports']","Oct 4, 2005 to Sep 26, 2006",52.0,16485,3511,741.0,7.88
75,37985,Aggressive Retsuko (ONA) 2nd Season,"['Slice of Life', 'Comedy']","Jun 14, 2019",10.0,29059,2645,739.0,7.88
76,38435,Yao Shen Ji 3rd Season,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial Arts', 'Romance']","Oct 1, 2018 to Feb 1, 2019",40.0,3343,6783,738.0,7.89
77,20057,Space☆Dandy,"['Sci-Fi', 'Space', 'Comedy']","Jan 5, 2014 to Mar 27, 2014",13.0,216068,500,737.0,7.89
78,1172,Slayers Try,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']","Apr 4, 1997 to Sep 26, 1997",26.0,42662,2090,736.0,7.89
79,397,Seikai no Senki II,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']","Jul 11, 2001 to Sep 26, 2001",10.0,18367,3331,735.0,7.89
81,4080,Kyou kara Maou! 3rd Series,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']","Apr 3, 2008 to Feb 19, 2009",39.0,25570,2804,733.0,7.89
82,11887,Kokoro Connect,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']","Jul 8, 2012 to Sep 30, 2012",13.0,498307,135,732.0,7.89
83,254,Jungle wa Itsumo Hare nochi Guu Deluxe,"['Comedy', 'Slice of Life']","Aug 25, 2002 to Jan 25, 2003",6.0,10497,4248,731.0,7.89
84,11135,Hybrid Child,"['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']","Oct 29, 2014 to Jan 28, 2015",4.0,48435,1942,730.0,7.89
87,267,Gungrave,"['Action', 'Drama', 'Sci-Fi', 'Seinen', 'Super Power']","Oct 7, 2003 to Mar 30, 2004",26.0,137057,812,727.0,7.89
88,4872,Goku Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']","Oct 17, 2008 to Feb 17, 2009",3.0,51621,1858,726.0,7.89
89,3665,Ginga Eiyuu Densetsu Gaiden (1999),"['Drama', 'Military', 'Sci-Fi', 'Space']","Dec 24, 1999 to Jun 27, 2001",28.0,13321,3845,725.0,7.89
90,37150,Douluo Dalu,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']","Jan 20, 2018 to Jul 14, 2018",26.0,8935,4566,724.0,7.89
92,12403,Yuru Yuri♪♪,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']","Jul 3, 2012 to Sep 18, 2012",12.0,130757,859,722.0,7.9
93,39597,Sword Art Online: Alicization - War of Underworld,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']","Oct 13, 2019 to Dec 29, 2019",12.0,189943,568,721.0,7.9
95,82,Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Mar 25, 1989 to Aug 25, 1989",6.0,36514,2298,719.0,7.9
96,34745,Mahoujin Guruguru (2017),"['Adventure', 'Fantasy', 'Magic', 'Comedy', 'Shounen']","Jul 11, 2017 to Dec 20, 2017",24.0,24706,2880,718.0,7.9
98,253,Jungle wa Itsumo Hare nochi Guu,"['Slice of Life', 'Comedy', 'School']","Apr 3, 2001 to Sep 25, 2001",26.0,27536,2696,716.0,7.9
99,12413,Jormungand,"['Action', 'Adventure', 'Seinen']","Apr 11, 2012 to Jun 27, 2012",12.0,225965,464,715.0,7.9
100,5630,Higashi no Eden,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']","Apr 10, 2009 to Jun 19, 2009",11.0,398780,214,714.0,7.89
102,29787,Gochuumon wa Usagi Desu ka??,"['Slice of Life', 'Comedy']","Oct 10, 2015 to Dec 26, 2015",12.0,80268,1357,712.0,7.9
103,2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,"['Action', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'Shounen']","Jul 23, 1992 to Jan 25, 1998",7.0,18602,3310,711.0,7.9
107,1472,City Hunter 3,"['Action', 'Comedy', 'Mystery', 'Shounen']","Oct 15, 1989 to Jan 21, 1990",13.0,11650,4061,707.0,7.9
109,35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['Slice of Life', 'Psychological', 'Drama', 'School']","Jul 12, 2017 to Sep 27, 2017",12.0,344479,279,705.0,7.91
112,12445,Tasogare Otome x Amnesia,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']","Apr 9, 2012 to Jun 25, 2012",12.0,270355,366,702.0,7.91
114,35073,Overlord II,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']","Jan 9, 2018 to Apr 3, 2018",13.0,443731,172,700.0,7.91
116,569,Musekinin Kanchou Tylor,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']","Jan 25, 1993 to Jul 19, 1993",26.0,32091,2462,698.0,7.91
117,19111,Love Live! School Idol Project 2nd Season,"['Music', 'School', 'Slice of Life']","Apr 6, 2014 to Jun 29, 2014",13.0,170880,641,697.0,7.91
119,4898,Kuroshitsuji,"['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']","Oct 3, 2008 to Mar 27, 2009",24.0,684593,71,695.0,7.91
121,12893,Danshi Koukousei no Nichijou Specials,"['Comedy', 'School', 'Shounen', 'Slice of Life']","Apr 3, 2012 to Sep 4, 2012",6.0,84559,1290,693.0,7.91
123,532,Bishoujo Senshi Sailor Moon S,"['Drama', 'Magic', 'Romance', 'Shoujo']","Mar 19, 1994 to Feb 25, 1995",38.0,93615,1163,691.0,7.91
124,21185,Baby Steps,"['Romance', 'School', 'Shounen', 'Sports']","Apr 6, 2014 to Sep 21, 2014",25.0,102172,1083,690.0,7.91
125,890,Yuusha-Ou GaoGaiGar,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']","Feb 1, 1997 to Jan 31, 1998",49.0,14623,3700,689.0,7.92
127,949,Top wo Nerae! Gunbuster,"['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']","Oct 7, 1988 to Jul 7, 1989",6.0,84962,1283,687.0,7.92
129,1729,Maria-sama ga Miteru 3rd,"['Drama', 'School', 'Shoujo Ai', 'Slice of Life']","Dec 29, 2006 to Jul 25, 2007",5.0,16501,3506,685.0,7.92
130,8310,Magic Kaito,"['Adventure', 'Comedy', 'Romance', 'Shounen']","Apr 17, 2010 to Dec 29, 2012",12.0,46449,1991,684.0,7.92
131,35075,Hoozuki no Reitetsu 2nd Season,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']","Oct 8, 2017 to Dec 31, 2017",13.0,28922,2629,683.0,7.92
133,15809,Hataraku Maou-sama!,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']","Apr 4, 2013 to Jun 27, 2013",13.0,808817,55,681.0,7.92
138,17909,Uchouten Kazoku,"['Slice of Life', 'Comedy', 'Demons', 'Drama', 'Fantasy']","Jul 7, 2013 to Sep 29, 2013",13.0,120682,936,675.0,7.93
139,10521,Working'!!,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']","Oct 1, 2011 to Dec 24, 2011",13.0,187178,576,676.0,7.93
140,22319,Tokyo Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']","Jul 4, 2014 to Sep 19, 2014",12.0,1346036,6,674.0,7.93
141,400,Seihou Bukyou Outlaw Star,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Comedy']","Jan 9, 1998 to Jun 26, 1998",24.0,109861,1016,673.0,7.93
142,9088,Saiyuuki Gaiden,"['Action', 'Adventure', 'Drama', 'Fantasy']","Mar 25, 2011 to Nov 25, 2011",3.0,9958,4352,672.0,7.93
146,22097,Magi: Sinbad no Bouken,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']","May 14, 2014 to Jul 15, 2015",5.0,85390,1281,668.0,7.93
150,2035,Eikoku Koi Monogatari Emma: Molders-hen,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']","Apr 17, 2007 to Jul 3, 2007",12.0,17846,3375,664.0,7.93
152,6377,Zan Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']","Jul 5, 2009 to Sep 27, 2009",13.0,77045,1391,661.0,7.94
153,1485,Akachan to Boku,"['Comedy', 'Drama', 'Shoujo']","Jul 11, 1996 to Mar 26, 1997",35.0,14014,3772,662.0,7.93
154,4163,Seto no Hanayome OVA,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']","Nov 3, 2008 to Jan 5, 2009",2.0,41807,2115,660.0,7.94
155,2143,Saiyuuki Reload: Burial,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']","Apr 28, 2007 to Mar 28, 2008",3.0,10169,4309,659.0,7.94
157,25517,Magic Kaito 1412,"['Adventure', 'Comedy', 'Romance', 'Shounen']","Oct 4, 2014 to Mar 28, 2015",24.0,77076,1394,657.0,7.94
158,27947,Lupin III (2015),"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']","Oct 2, 2015 to Mar 18, 2016",24.0,39165,2227,656.0,7.94
159,1695,Les Misérables: Shoujo Cosette,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']","Jan 7, 2007 to Dec 30, 2007",52.0,16991,3462,655.0,7.94
162,24471,Hoozuki no Reitetsu OVA,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']","Feb 23, 2015 to Mar 23, 2017",4.0,12439,3956,653.0,7.94
164,35120,Devilman: Crybaby,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']","Jan 5, 2018",10.0,358644,261,650.0,7.94
166,10012,Carnival Phantasm,"['Comedy', 'Parody', 'Supernatural']","Aug 14, 2011 to Dec 31, 2011",12.0,124951,901,648.0,7.94
167,2605,Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']","Jul 8, 2007 to Sep 23, 2007",12.0,247015,407,646.0,7.95
168,31973,Mobile Suit Gundam Thunderbolt,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Dec 25, 2015 to Apr 22, 2016",4.0,32861,2441,645.0,7.95
170,3572,Macross F,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']","Apr 4, 2008 to Sep 26, 2008",25.0,119449,941,643.0,7.95
173,5781,Isekai no Seikishi Monogatari,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']","May 22, 2009 to May 26, 2010",13.0,130797,860,640.0,7.95
175,38250,Xiao Lu He Xiao Lan,"['Game', 'Sci-Fi', 'Slice of Life', 'Comedy', 'Drama', 'Magic', 'School', 'Shounen Ai']","Aug 27, 2018 to Feb 16, 2019",72.0,2148,7834,637.0,7.96
177,7062,Hidamari Sketch x ☆☆☆,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Jan 8, 2010 to Mar 26, 2010",12.0,21147,3102,635.0,7.96
179,790,Ergo Proxy,"['Psychological', 'Mystery', 'Sci-Fi']","Feb 25, 2006 to Aug 12, 2006",23.0,406663,201,633.0,7.96
180,8408,Durarara!! Specials,"['Action', 'Comedy', 'Supernatural']","Aug 25, 2010 to Feb 23, 2011",2.0,134647,835,632.0,7.96
183,658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,"['Game', 'Psychological', 'Thriller', 'Seinen']","Oct 5, 2005 to Mar 29, 2006",26.0,71420,1473,629.0,7.97
184,2158,Terra e... (TV),"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Apr 7, 2007 to Sep 22, 2007",24.0,48728,1931,628.0,7.97
186,9926,Sekaiichi Hatsukoi,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Apr 9, 2011 to Jun 25, 2011",12.0,143425,775,626.0,7.97
187,26123,Seitokai Yakuindomo* OVA,"['Slice of Life', 'Comedy', 'School', 'Shounen']","May 16, 2014 to Sep 17, 2020",10.0,51889,1850,625.0,7.97
189,13767,Junjou Romantica OVA,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Dec 20, 2012 to Dec 1, 2015",2.0,36264,2306,623.0,7.97
190,2762,Igano Kabamaru,"['Action', 'Adventure', 'Comedy', 'Romance', 'School', 'Shounen']","Oct 20, 1983 to Mar 29, 1984",24.0,7752,4815,622.0,7.97
191,33899,IDOLiSH7,['Music'],"Jan 7, 2018 to May 19, 2018",17.0,24342,2904,621.0,7.97
192,967,Hokuto no Ken,"['Action', 'Drama', 'Martial Arts', 'Sci-Fi', 'Shounen']","Oct 4, 1984 to Mar 5, 1987",109.0,79797,1360,620.0,7.97
194,11239,Hidamari Sketch x Honeycomb,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Oct 5, 2012 to Dec 21, 2012",12.0,17569,3406,618.0,7.97
195,22043,Fairy Tail (2014),"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']","Apr 5, 2014 to Mar 26, 2016",102.0,537817,115,617.0,7.97
196,6505,There She Is!!,"['Comedy', 'Romance']","Apr 20, 2003 to Dec 9, 2008",5.0,19234,3255,615.0,7.98
197,32093,Tanaka-kun wa Itsumo Kedaruge,"['Slice of Life', 'Comedy', 'School']","Apr 9, 2016 to Jun 25, 2016",12.0,229884,457,613.0,7.98
198,6582,Tentai Senshi Sunred 2nd Season,"['Comedy', 'Parody', 'Seinen', 'Super Power']","Oct 3, 2009 to Mar 27, 2010",26.0,6317,5234,614.0,7.98
199,114,Sakigake!! Cromartie Koukou,"['Comedy', 'School', 'Shounen']","Oct 3, 2003 to Mar 26, 2004",26.0,99181,1100,612.0,7.98
200,85,Mobile Suit Zeta Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']","Mar 2, 1985 to Feb 22, 1986",50.0,45630,2016,611.0,7.98
201,25649,Junjou Romantica 3,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Jul 9, 2015 to Sep 24, 2015",12.0,72135,1470,610.0,7.98
202,996,Bishoujo Senshi Sailor Moon: Sailor Stars,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo']","Mar 9, 1996 to Feb 8, 1997",34.0,72689,1452,608.0,7.98
203,6586,Yume-iro Pâtissière,"['Kids', 'School', 'Shoujo']","Oct 4, 2009 to Sep 26, 2010",50.0,53217,1819,607.0,7.99
204,3588,Soul Eater,"['Action', 'Fantasy', 'Comedy', 'Supernatural', 'Shounen']","Apr 7, 2008 to Mar 30, 2009",51.0,970841,32,606.0,7.99
205,12815,Shirokuma Cafe,"['Slice of Life', 'Comedy', 'Josei']","Apr 5, 2012 to Mar 28, 2013",50.0,65819,1568,605.0,7.99
206,24,School Rumble,"['Comedy', 'Romance', 'School', 'Shounen']","Oct 5, 2004 to Mar 29, 2005",26.0,243964,412,604.0,7.99
207,17549,Non Non Biyori,"['Comedy', 'School', 'Seinen', 'Slice of Life']","Oct 8, 2013 to Dec 24, 2013",12.0,240148,422,603.0,7.99
209,34451,Kekkai Sensen & Beyond,"['Action', 'Comedy', 'Fantasy', 'Shounen', 'Super Power', 'Supernatural', 'Vampire']","Oct 8, 2017 to Dec 24, 2017",12.0,222920,478,601.0,7.99
210,13331,Jormungand: Perfect Order,"['Action', 'Adventure', 'Seinen']","Oct 10, 2012 to Dec 26, 2012",12.0,129296,872,600.0,7.99
211,9289,Hanasaku Iroha,"['Slice of Life', 'Comedy', 'Drama']","Apr 3, 2011 to Sep 25, 2011",26.0,228107,459,599.0,7.99
212,36370,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Oct 25, 2019",4.0,8711,4598,598.0,8.0
213,3371,Ginga Eiyuu Densetsu Gaiden,"['Action', 'Military', 'Sci-Fi', 'Space']","Feb 9, 1998 to Sep 26, 1998",24.0,15273,3632,597.0,7.99
215,1470,City Hunter,"['Action', 'Comedy', 'Mystery', 'Shounen']","Apr 6, 1987 to Mar 28, 1988",51.0,39228,2221,595.0,7.99
217,9513,Beelzebub,"['Action', 'Comedy', 'Demons', 'Supernatural', 'School', 'Shounen']","Jan 9, 2011 to Mar 25, 2012",60.0,375105,238,593.0,7.99
218,28,Yakitate!! Japan,"['Comedy', 'Shounen']","Oct 12, 2004 to Mar 14, 2006",69.0,71129,1476,592.0,8.0
219,38917,Tong Ling Fei,"['Comedy', 'Historical', 'Drama', 'Romance']","Nov 30, 2018 to Apr 19, 2019",16.0,7880,4821,590.0,8.0
221,9941,Tiger & Bunny,"['Action', 'Mystery', 'Comedy', 'Super Power']","Apr 3, 2011 to Sep 18, 2011",25.0,162364,682,589.0,8.0
222,11813,Shijou Saikyou no Deshi Kenichi OVA,"['Action', 'Martial Arts', 'Comedy', 'School', 'Shounen']","Mar 14, 2012 to May 16, 2014",11.0,40361,2177,588.0,8.0
223,27775,Plastic Memories,"['Sci-Fi', 'Drama', 'Romance']","Apr 5, 2015 to Jun 28, 2015",13.0,465541,156,587.0,8.0
226,1088,Macross,"['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']","Oct 3, 1982 to Jun 26, 1983",36.0,71106,1479,584.0,8.0
227,35857,Lupin III: Part 5,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Apr 4, 2018 to Sep 19, 2018",24.0,21342,3095,583.0,8.0
228,387,Haibane Renmei,"['Slice of Life', 'Mystery', 'Psychological', 'Drama', 'Fantasy']","Oct 10, 2002 to Dec 19, 2002",13.0,180467,599,581.0,8.0
229,1594,Jigoku Shoujo Futakomori,"['Mystery', 'Horror', 'Psychological', 'Supernatural']","Oct 7, 2006 to Apr 7, 2007",26.0,116187,970,582.0,8.0
230,2924,ef: A Tale of Memories.,"['Mystery', 'Drama', 'Romance']","Oct 7, 2007 to Dec 23, 2007",12.0,202103,534,580.0,8.0
234,30279,Yuru Yuri San☆Hai!,"['Comedy', 'School', 'Shoujo Ai', 'Slice of Life']","Oct 6, 2015 to Dec 22, 2015",12.0,83403,1310,576.0,8.01
235,37786,Yagate Kimi ni Naru,"['Romance', 'School', 'Shoujo Ai']","Oct 5, 2018 to Dec 28, 2018",13.0,126027,900,575.0,8.01
236,31098,Ushio to Tora (TV) 2nd Season,"['Action', 'Adventure', 'Comedy', 'Demons', 'Supernatural', 'Shounen']","Apr 1, 2016 to Jun 24, 2016",13.0,85447,1282,574.0,8.01
237,2618,Takarajima,"['Adventure', 'Mystery', 'Historical', 'Drama']","Oct 8, 1978 to Apr 1, 1979",26.0,11447,4101,573.0,8.01
239,957,Saiunkoku Monogatari,"['Adventure', 'Fantasy', 'Comedy', 'Romance', 'Historical', 'Drama']","Apr 8, 2006 to Feb 24, 2007",39.0,70801,1485,571.0,8.01
240,2159,Ookiku Furikabutte,"['Comedy', 'Seinen', 'Sports']","Apr 13, 2007 to Sep 28, 2007",25.0,71393,1474,570.0,8.01
